# 동작|방향|프레임|머리·눈·악세 X이동|Y이동|옷 시작y|옷 끝y
# 이 파일은 tools/extract_player_parts.py 가 원본 그림에서 자동으로 뽑은 것이다.
Idle|Down|0|0|0|17|23
Idle|Down|1|0|1|18|23
Idle|Down|2|0|1|18|23
Idle|Down|3|0|1|18|23
Idle|Up|0|0|0|17|23
Idle|Up|1|0|1|18|23
Idle|Up|2|0|1|18|23
Idle|Up|3|0|1|18|23
Idle|Right|0|0|0|17|23
Idle|Right|1|0|1|18|23
Idle|Right|2|0|1|18|23
Idle|Right|3|0|1|18|23
Idle|Left|0|1|0|17|23
Idle|Left|1|1|1|18|23
Idle|Left|2|1|1|18|23
Idle|Left|3|1|1|18|23
Walk|Down|0|0|1|18|23
Walk|Down|1|0|1|18|23
Walk|Down|2|0|0|17|23
Walk|Down|3|0|1|18|23
Walk|Down|4|0|1|18|23
Walk|Down|5|0|0|17|23
Walk|Up|0|0|1|18|23
Walk|Up|1|0|1|18|23
Walk|Up|2|0|0|17|23
Walk|Up|3|0|1|18|23
Walk|Up|4|0|1|18|23
Walk|Up|5|0|0|17|23
Walk|Right|0|0|1|18|23
Walk|Right|1|0|1|18|23
Walk|Right|2|0|0|17|23
Walk|Right|3|0|1|18|23
Walk|Right|4|0|1|18|23
Walk|Right|5|0|0|17|23
Walk|Left|0|1|1|18|23
Walk|Left|1|1|1|18|23
Walk|Left|2|1|0|17|23
Walk|Left|3|1|1|18|23
Walk|Left|4|1|1|18|23
Walk|Left|5|1|0|17|23
Run|Down|0|0|1|17|23
Run|Down|1|0|2|19|23
Run|Down|2|0|0|15|23
Run|Down|3|0|0|15|23
Run|Down|4|0|1|17|23
Run|Down|5|0|2|19|23
Run|Down|6|0|0|15|23
Run|Down|7|0|0|15|23
Run|Up|0|0|0|15|22
Run|Up|1|0|1|18|23
Run|Up|2|0|2|19|23
Run|Up|3|0|0|17|22
Run|Up|4|0|0|15|22
Run|Up|5|0|1|18|23
Run|Up|6|0|2|19|23
Run|Up|7|0|0|17|22
Run|Right|0|0|1|18|23
Run|Right|1|0|2|19|23
Run|Right|2|0|1|18|23
Run|Right|3|0|0|17|23
Run|Right|4|0|0|17|23
Run|Right|5|0|2|19|23
Run|Right|6|0|0|17|23
Run|Right|7|0|0|17|23
Run|Left|0|1|1|18|23
Run|Left|1|1|2|19|23
Run|Left|2|1|1|18|23
Run|Left|3|1|0|17|23
Run|Left|4|1|0|17|23
Run|Left|5|1|2|19|23
Run|Left|6|1|0|17|23
Run|Left|7|1|0|17|23
Carrying - Idle|Down|0|0|0|16|23
Carrying - Idle|Down|1|0|1|17|23
Carrying - Idle|Down|2|0|0|16|23
Carrying - Idle|Down|3|0|1|17|23
Carrying - Idle|Up|0|1|0|16|23
Carrying - Idle|Up|1|1|1|17|23
Carrying - Idle|Up|2|1|0|16|23
Carrying - Idle|Up|3|1|1|17|23
Carrying - Idle|Right|0|0|0|16|23
Carrying - Idle|Right|1|0|1|17|23
Carrying - Idle|Right|2|0|0|16|23
Carrying - Idle|Right|3|0|1|17|23
Carrying - Idle|Left|0|1|0|16|23
Carrying - Idle|Left|1|1|1|17|23
Carrying - Idle|Left|2|1|0|16|23
Carrying - Idle|Left|3|1|1|17|23
Carrying - Walk|Down|0|0|1|17|23
Carrying - Walk|Down|1|0|1|17|23
Carrying - Walk|Down|2|0|0|16|23
Carrying - Walk|Down|3|0|1|17|23
Carrying - Walk|Down|4|0|1|17|23
Carrying - Walk|Down|5|0|0|16|23
Carrying - Walk|Up|0|1|1|17|23
Carrying - Walk|Up|1|1|1|17|23
Carrying - Walk|Up|2|1|0|16|23
Carrying - Walk|Up|3|1|1|17|23
Carrying - Walk|Up|4|1|1|17|23
Carrying - Walk|Up|5|1|0|16|23
Carrying - Walk|Right|0|0|1|17|23
Carrying - Walk|Right|1|0|1|17|23
Carrying - Walk|Right|2|0|0|16|23
Carrying - Walk|Right|3|0|1|17|23
Carrying - Walk|Right|4|0|1|17|23
Carrying - Walk|Right|5|0|0|16|23
Carrying - Walk|Left|0|1|1|17|23
Carrying - Walk|Left|1|1|1|17|23
Carrying - Walk|Left|2|1|0|16|23
Carrying - Walk|Left|3|1|1|17|23
Carrying - Walk|Left|4|1|1|17|23
Carrying - Walk|Left|5|1|0|16|23
Carrying - Run|Down|0|0|1|17|23
Carrying - Run|Down|1|0|2|18|23
Carrying - Run|Down|2|0|0|16|23
Carrying - Run|Down|3|0|0|16|23
Carrying - Run|Down|4|0|1|17|23
Carrying - Run|Down|5|0|2|18|23
Carrying - Run|Down|6|0|0|16|23
Carrying - Run|Down|7|0|0|16|23
Carrying - Run|Up|0|1|0|16|22
Carrying - Run|Up|1|1|1|17|23
Carrying - Run|Up|2|1|2|18|23
Carrying - Run|Up|3|1|0|16|23
Carrying - Run|Up|4|1|0|16|22
Carrying - Run|Up|5|1|1|17|23
Carrying - Run|Up|6|1|2|18|23
Carrying - Run|Up|7|1|0|16|22
